Title,Framework,Hook Score,Why
"This Walking Secret Melts Belly Fat After 50 (No Hard Cardio)","This [Easy activity] Secret [Achieves big goal] [Specific Audience] (No [Unwanted, but typically necessary activity])","+2550","Desire – This leverages desire in two ways: Most people would love to melt belly fat.



Doing something easy like walking to melt belly fat sounds incredible. Curiosity – Making videos about secrets is a simple, but effective way to build curiosity. Specific Audience – When you call out a specific audience, like “After 50”, it makes them feel like your video was made specifically for them, and they’re more likely to click. Refute Objection – Many people don’t want to do hard cardio to lose weight, but this title gets rid of that objection by promising “No Hard Cardio.”"
"NEVER Say This in a Job Interview (or You’re DONE)","NEVER [Activity] This in a [High stakes situation] (or You’re DONE)","+9783","Negativity – Warnings like this do a great job of grabbing the audience’s attention. Curiosity – This opens a loop and makes you wonder what “This” is."
"Top 7 Beginner Mistakes in Creature Design","Top 7 Beginner Mistakes in (Activity)","+701","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Beginners – Calling out beginners works so well because they’re the biggest and most eager to learn group of any audience. Negativity – Nobody wants to make a mistake, so mistakes make for great video topics."
"Give me 15 Minutes and I’ll Make you Dangerously Confident","Give me 15 Minutes and I’ll Make you (Desirable attribute)","+1376","Desire – Most people would love to be dangerously confident Time Frame – The time frame of 15 minutes does 2 things here: It makes this video more tangible and interesting.



It increases the desire because 15 minutes isn’t that long to become dangerously confident. Drama – “Dangerously Confident” sounds a lot cooler and adds more drama and spice than just “Confident”."
"How to run so fast it feels unnatural","How to (Do an activity so well) it feels unnatural","+1466","Desire – This creator’s audience would love to run faster. Another element at work here is, “show don’t tell.” If this title were “how to run really fast,” that probably wouldn’t have been as effective as running “so fast it feels unnatural.”"
"How to DESTROY your exam like it owes you money (by a straight A engineering student)","How to DESTROY your [Entity] like it owes you money (by a [Authority figure])","+1764","Desire – This creator’s audience would love to destroy their exam. Authority – This creator builds trust by dropping that he’s a straight-A engineering student at the end. Drama – Destroying your exam like it owes you money is a way more fun and dramatic way to say “get an A on your exam.”"
"Why Salads Always Taste Better At Restaurants | Techniquely with Lan Lam","Why (Entities) Always (Action) Better At (Place of authority)","+897","Authority – Restaurants are an authority when it comes to good salads. Curiosity – This answers a common question people have asked themselves."
"DON’T DONATE your clothes (do this instead)","DON’T [Common, beneficial action] (do this instead)","+1003","Negativity – Warnings like this do a great job of grabbing attention. Curiosity – This builds curiosity in two ways: It’s counterintuitive. Isn’t donating your clothes a good thing?



“do this instead” opens a loop and makes you wonder what the alternative is."
"3 simple tips to unlock ChatGPT GENIUS mode…","3 simple tips to unlock (tool) GENIUS mode…","+1246","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Desire – This leverages desire 3 ways: This creator’s audience would love to get better results with ChatGPT.



Everybody loves “simple” tips.



And “Genius mode” is just such a cool name that increases the value of the video."
"9 Celebrities Who Risked It All to Follow Jesus","9 Celebrities Who Risked It All to (Action or goal)","+1570","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Controversy – “Risking it all” adds conflict and controversy, raising the stakes of this video to make it more interesting."
"How Japan escaped Obesity while America got Fat","How (Entity) escaped (Problem) while (Entity) (Suffered from problem)","+724","Negativity – This is all about a well-known problem, which grabs attention. Desire – This offers a little bit of hope. If Japan escaped this problem, maybe there’s a solution. Curiosity – This opens a loop and makes you wonder how Japan escaped this problem (and what’s wrong with Americans that made them get fat)."
"11 Hidden Flight Tricks Airlines are Keeping Quiet About On Purpose!","11 Hidden (Niche) Tricks (Authorities) are Keeping Quiet About On Purpose!","+1096","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Curiosity – “Hidden” and “Keeping Quiet About On Purpose” both make you feel like you’re getting in on a secret. Authority – The fact that “Airlines” are the ones keeping these tricks quiet makes them feel more credible. Desire – This creator’s audience is into flight tricks. And I feel like “On Purpose” makes these tricks seem even more valuable."
